,0,1,2,3,4
0,-0.36789453,-0.20110025,-0.28631637,-0.23365025,-0.22175445
1,0.22898334,0.16387045,-0.10675173,-0.20482248,-0.23594046
2,0.3539199,0.26649803,0.107890226,-0.02127523,-0.22423317
3,0.10139344,0.08033917,-0.0276764,0.014052171,-0.005693054
4,-0.13860822,-0.06477645,0.027529012,0.042303428,0.01372864
,0,1,2,3,4
0,0.055241745,0.043931473,-0.15905121,-0.002665512,0.22514749
1,-0.053960986,-0.20166883,-0.14676332,-0.14261991,0.16365995
2,0.07457079,0.010414036,-0.10367728,-0.14391164,-0.052563965
3,0.12225454,0.026190203,0.09964617,-0.015391058,-0.1641121
4,0.100341894,0.11890289,0.020862287,-0.00952688,-0.09201985
,0,1,2,3,4
0,0.13921638,0.043781642,0.0818243,0.04290518,-0.25823647
1,-0.023424722,0.011610824,-0.005424488,0.021723982,-0.2296486
2,-0.25323018,-0.15206467,-0.20338723,-0.23465924,-0.25313175
3,0.035932034,-0.04855146,-0.27510393,-0.26081094,-0.07136958
4,-0.0290603,-0.110909194,-0.17010614,-0.16795212,0.10484704
,0,1,2,3,4
0,0.026007025,0.019047359,0.009142071,0.07543603,0.14165121
1,-0.14485237,-0.21682589,-0.23690389,0.0064116283,0.07300921
2,-0.010898956,-0.13118236,-0.232673,0.042521212,0.13126606
3,0.014767056,-0.07434451,-0.09619303,0.019396296,0.18454278
4,0.096132316,0.122728586,0.08377464,-0.053477906,-0.031511817
,0,1,2,3,4
0,-0.019478954,0.044416573,0.0690065,0.105920054,0.09061276
1,-0.019294431,-0.08144275,-0.102711864,0.039737783,0.153392
2,0.13229507,0.14132017,-0.06985262,-0.14772944,-0.18315825
3,0.07492387,0.110984415,-0.004610166,-0.11352853,-0.062954456
4,0.053954944,-0.0011038025,-0.024472753,0.00022878165,-0.25319314
,0,1,2,3,4
0,0.08289194,0.15473339,0.15629418,0.17881642,0.14067309
1,-0.05710025,0.032549825,-0.060398642,0.13791576,0.21011929
2,0.0020985797,-0.22102743,-0.36165956,-0.16130576,-0.018705683
3,0.021453086,-0.031224314,-0.17517671,-0.15909494,0.0044582346
4,0.109949775,0.030781776,-0.087851964,-0.066571586,-0.12863204
,0,1,2,3,4
0,-0.054973837,-0.067621835,-0.0028965871,0.046236824,0.08345204
1,-0.10285602,-0.14739925,-0.28283945,-0.026086014,0.19986583
2,0.09637265,-0.08236294,-0.14587821,0.054077152,0.1765423
3,0.06291179,-0.052251637,-0.15995546,0.13920248,0.093883745
4,0.03228967,-0.05083231,0.017543148,0.00086286926,0.030444708
,0,1,2,3,4
0,0.044198822,0.08123549,0.08029038,0.096191175,-0.0326465
1,-0.020697255,0.10166636,0.08366324,0.08646823,-0.07446276
2,-0.09144589,-0.23563616,-0.49400574,-0.1345914,0.015332855
3,0.05896516,-0.13793872,-0.16013934,-0.10158772,0.03551596
4,0.13034712,-0.052853562,-0.21555907,-0.106121786,-0.03941337
,0,1,2,3,4
0,0.08780769,-0.054444075,0.0301779,-0.08774312,-0.051575404
1,-0.09546475,-0.060128007,0.017948251,-0.07581418,-0.2620775
2,-0.25090227,-0.11510737,-0.15447319,-0.119936764,-0.19233726
3,0.02364139,-0.011720611,-0.079899736,-0.0639541,0.023022668
4,-0.024746085,-0.056174867,-0.089131,0.025858631,0.11950145
,0,1,2,3,4
0,0.07583197,0.06573652,0.02243221,0.037318468,-0.17342526
1,0.01325041,0.049465563,0.16001609,0.04303893,-0.21989419
2,-0.11144752,-0.029808056,-0.13966976,-0.12567504,-0.21235272
3,0.16868985,0.0026217138,-0.20981222,-0.28168115,-0.09801099
4,-0.019817812,-0.072371654,-0.22386579,-0.17062247,-0.002678515
,0,1,2,3,4
0,0.10165099,0.0038689408,-0.06146176,0.055730976,0.29356143
1,-0.06856631,-0.055849995,-0.02948322,0.021607073,0.3283604
2,-0.00039941273,0.18959144,0.021315718,-0.24481241,0.15076366
3,0.093298666,0.066052355,0.05060245,0.0004654611,-0.09213341
4,0.10649099,0.13619593,0.15936866,-0.09632798,-0.14470492
,0,1,2,3,4
0,0.056368656,-0.04817852,-0.10299679,0.11583262,0.06750599
1,-0.18601267,-0.03165705,-0.06291333,-0.09221054,0.07502912
2,-0.025359938,-0.05051766,-0.15793133,-0.14740121,0.06338543
3,0.07269072,-0.09041681,-0.020025728,-0.06819735,0.17674561
4,0.11902049,-0.016750323,0.013513953,0.016446624,-0.04823188
,0,1,2,3,4
0,0.11896611,0.069769196,-0.06698403,0.06522407,0.14196268
1,-0.081711374,-0.2147348,-0.18888773,-0.08864621,0.19304289
2,0.06000242,0.0023007346,-0.057331648,-0.23513852,0.02290043
3,0.17328864,0.098718084,-0.029890692,-0.13279453,-0.14183986
4,0.124880105,0.12654644,-0.006573383,-0.01139698,0.01909658
,0,1,2,3,4
0,0.22214206,0.036362957,-0.15532778,-0.09877609,-0.11434979
1,-0.061545625,-0.18820216,-0.093403466,-0.111277446,-0.2453044
2,-0.3055602,-0.21316166,-0.1609709,-0.15958029,-0.18976468
3,0.012971946,-0.0061520855,-0.05899784,-0.047651824,0.07801552
4,0.14280966,-0.008041539,-0.09508986,4.3471628e-06,0.13597712
,0,1,2,3,4
0,-0.09597138,-0.13515235,-0.02934664,-0.018841708,-0.062037393
1,-0.15059674,-0.13328728,-0.2859398,-0.28560945,-0.11352699
2,-0.19576627,-0.024585044,-0.057656556,-0.27783087,-0.28687224
3,-0.16628084,0.2105616,0.11568763,0.21049562,-0.0444678
4,0.06327636,-0.19029604,-0.05378367,0.27598253,0.012989338
,0,1,2,3,4
0,-0.03939444,0.062268257,0.1255556,0.0038002033,0.04905726
1,-0.024664942,-0.0027320501,0.12071574,0.005751479,0.059624974
2,0.04773903,0.025502853,0.00419373,0.014303738,0.10496576
3,0.028540447,-0.124308266,-0.06041611,-0.026450628,-0.04905258
4,-0.06749485,-0.078394055,-0.092859335,-0.068666905,-0.052782554
,0,1,2,3,4
0,0.13196741,0.15650705,0.010482643,-0.07135659,-0.21485427
1,-0.022439634,-0.05667659,-0.0584299,-0.23414803,-0.09474811
2,0.026237393,-0.34270906,-0.26861647,-0.11564031,-0.10944183
3,-0.12071049,-0.3217007,0.0048760264,0.20817214,0.17102233
4,-0.28087276,-0.08854754,-0.018166048,0.02024197,0.026374865
,0,1,2,3,4
0,0.08449621,0.020260232,-0.01457502,-0.01932504,0.07990227
1,0.057932753,0.058959413,-0.089345,-0.0047589517,0.21298493
2,-0.00477558,0.004854443,0.04483668,0.17149474,-0.026686605
3,-0.09961894,0.0978486,-0.022116834,0.017684154,-0.13268518
4,0.118494965,-0.121973716,-0.109267816,-0.004661477,-0.06577785
,0,1,2,3,4
